# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
2.269142359166523e-12  1.750533223843220e-05  1.417776558395426e-17
2.326025284120399e-12  1.766071368036748e-05  1.466217408238039e-17
2.384334151848760e-12  1.781747432461067e-05  1.516313325601407e-17
2.444104707925470e-12  1.797562641314698e-05  1.568120858801810e-17
2.505373593995450e-12  1.813518229676347e-05  1.621698488229015e-17
2.568178370237447e-12  1.829615443593724e-05  1.677106692359019e-17
2.632557538389789e-12  1.845855540150154e-05  1.734408016022142e-17
2.698550565353516e-12  1.862239787642217e-05  1.793667141003763e-17
2.766197907387017e-12  1.878769465557539e-05  1.854950959057101e-17
2.835541034907347e-12  1.895445864752432e-05  1.918328647410752e-17
2.906622457913148e-12  1.912270287607321e-05  1.983871746855979e-17
2.979485752044893e-12  1.929244048004541e-05  2.051654242502001e-17
3.054175585298442e-12  1.946368471461568e-05  2.121752647290466e-17
3.130737745408279e-12  1.963644895330852e-05  2.194246088363369e-17
3.209219167917063e-12  1.981074668822025e-05  2.269216396381755e-17
3.289667964949017e-12  1.998659153046312e-05  2.346748197896338e-17
3.372133454704406e-12  2.016399721305184e-05  2.426929010873932e-17
3.456666191693589e-12  2.034297759001547e-05  2.509849343487907e-17
3.543317997728768e-12  2.052354663883982e-05  2.595602796283796e-17
3.632141993692860e-12  2.070571846113367e-05  2.684286167835778e-17
3.723192632104520e-12  2.088950728329486e-05  2.775999564012886e-17
3.816525730499745e-12  2.107492745806461e-05  2.870846510978718e-17
3.912198505650042e-12  2.126199346608182e-05  2.968934072051740e-17
4.010269608638633e-12  2.145071991566105e-05  3.070372968558583e-17
4.110799160815690e-12  2.164112154590114e-05  3.175277704816244e-17
4.213848790655162e-12  2.183321322557497e-05  3.283766697384795e-17
4.319481671535259e-12  2.202700995601603e-05  3.395962408735967e-17
4.427762560466296e-12  2.222252687200665e-05  3.511991485489037e-17
4.538757837789090e-12  2.241977924177796e-05  3.631984901369497e-17
4.652535547868791e-12  2.261878247011850e-05  3.756078105052470e-17
4.769165440808549e-12  2.281955209793018e-05  3.884411173057133e-17
4.888719015209153e-12  2.302210380400460e-05  4.017128967865375e-17
5.011269562000264e-12  2.322645340679941e-05  4.154381301442544e-17
5.136892209370725e-12  2.343261686443832e-05  4.296323104345484e-17
5.265663968824863e-12  2.364061027759767e-05  4.443114600608117e-17
5.397663782393661e-12  2.385044988906238e-05  4.594921488602656e-17
5.532972571029086e-12  2.406215208616835e-05  4.751915128079885e-17
5.671673284211911e-12  2.427573340169076e-05  4.914272733600401e-17
5.813850950802751e-12  2.449121051517622e-05  5.082177574574357e-17
5.959592731168202e-12  2.470860025427513e-05  5.255819182136351e-17
6.108987970613304e-12  2.492791959562979e-05  5.435393563088125e-17
6.262128254153833e-12  2.514918566709490e-05  5.621103421151435e-17
6.419107462661235e-12  2.537241574818161e-05  5.813158385779968e-17
6.580021830415405e-12  2.559762727183390e-05  6.011775248789496e-17
6.744970004099785e-12  2.582483782598288e-05  6.217178209072417e-17
6.914053103275787e-12  2.605406515443498e-05  6.429599125673931e-17
